Name,Street Address,City,Full Address,Latitude,Longitude,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,New Georeferenced Column
Hidellana Tamil School,"Palm Garden Estate Road, Ratnapura",,"Hidellana Tamil School Palm Garden Estate Road, Ratnapura  ",6.7123856,80.3909063,,,,,,POINT (6.71238559999999 80.3909063)
Kospelavinna Vidyalaya,"R/kospalavinna Vidyalaya, Ratnapura",,"Kospelavinna Vidyalaya R/kospalavinna Vidyalaya, Ratnapura  ",6.7084257,80.3979128,,,,,,POINT (6.70842569999999 80.3979128)
Pothgul Vihara,"M9JF+6JX, Pothgul Vihara Mawatha, Ratnapura",,"Pothgul Vihara M9JF+6JX, Pothgul Vihara Mawatha, Ratnapura  ",6.6706595,80.3790326,,,,,,POINT (6.6706595 80.3790326)
R/ Karangoda Maha Vidyalaya,"R/ Karangoda Maha Vidyalaya, Rathnapura",,"R/ Karangoda Maha Vidyalaya R/ Karangoda Maha Vidyalaya, Rathnapura  ",6.6819087,80.362938,,,,,,POINT (6.68190869999999 80.362938)
Ferguson High School,"Vinisuru Mw, Ratnapura 70000",,"Ferguson High School Vinisuru Mw, Ratnapura 70000  ",6.7055742,80.3847345,,,,,,POINT (6.7055742 80.3847345)
